id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
15784750,2B Private Rm in Guesthouse Manhattan,33249639488,unconfirmed,Bobi,Manhattan,East Harlem,40.8068,-73.93932,United States,US,True,strict,Private room,2020.0,$584 ,$117 ,1.0,84.0,6/11/2019,3.97,3.0,10.0,347.0,"No loud music after 10pm. Absolutely no smoking or pets. If there is other evidence of smoking or pets in the property, you will forfeit your entire security deposit. Check in and check out time can be flexible depending upon the dates you are looking for and whether anyone else is staying. Unless we arrange otherwise, check in is after 4pm and check out is before noon. The cleaning fee covers two hours. If additional cleaning is required, you will be charged $50/hour, deducted from your deposit. No parties. If a neighbor complains about a party happening or loud music after 10pm, or if there is a big mess left at the place, you will forfeit your entire deposit. Your internet usage will be logged and monitored if you access a blacklisted site or ip range. Please don't abuse the connection speed by downloading illegal content while a guest. You agree to follow all of the rules of the building, which will be provided. Any issues with not following the building rules and you forfeit your ",
51124218,Cozy room in MASSIVE bushwick house,38391636279,unconfirmed,Jared,Brooklyn,Bushwick,40.68863,-73.90874,United States,US,True,strict,Private room,2020.0,"$1,178 ",$236 ,1.0,1.0,1/1/2017,0.03,5.0,1.0,66.0,,
19658030,Big Apple Slice of History with Breakfast Included,12397252856,unconfirmed,Carmen,Manhattan,East Village,40.72493,-73.97571,United States,US,True,flexible,Private room,2016.0,$913 ,$183 ,2.0,26.0,6/19/2019,2.23,5.0,1.0,118.0,"Are we allowed to drive the boats? All of our boats are in-slip rentals, and can't be taken out. Many of our rental locations have charter services available in the same marina, and we can get you information regarding these services if you desire an excursion. How safe is the location? The boats are in very safe locations. There are gates for entrance, and a fully staffed office looking after the marina. Each boat can be secured while you are on board, or if you are away for the day. The parking is all in well lit and maintained lots. Do I need to bring my car, and where do I park? We recognize the hassle of traveling with a car within cities. We try to select marinas that are convenient for car-free exploring. Most of our locations are within walking distance to major tourist sites, and also have an abundance of public transportation options. If you do need to drive to the marina, we can provide you with information for finding a parking spot convenient to the marina and boat.  Do th",
55596191,SPECTACULAR 2br high floor (Website hidden by Airbnb) view,32645248443,unconfirmed,Labeat,Manhattan,Hell's Kitchen,40.76485,-73.98525,United States,US,False,strict,Entire home/apt,2021.0,$317 ,$63 ,3.0,1.0,4/28/2019,0.42,2.0,1.0,188.0,We ask that guests be respectful and considerate of the family members who live in the home. NO smoking or pets please.,
35435032,Large hideaway private room with couch!,65217643448,verified,,Brooklyn,Cypress Hills,40.68125,-73.88614,United States,US,False,strict,Private room,2020.0,$147 ,$29 ,30.0,1.0,11/18/2021,0.22,3.0,45.0,179.0,,
47703824,Updated Midtown East 2 Bedroom 3 Beds,59891217995,unconfirmed,Corporate Housing,Manhattan,Midtown,40.75605,-73.96503,United States,US,True,strict,Entire home/apt,2012.0,"$1,177 ",$235 ,30.0,0.0,,,2.0,91.0,89.0,"• Check-in time is 4PM. As me and my roommates are students, we often need to concentrate and study at home, what requires the environment to be quiet and silent. We like to party on the weekends though!",
4315136,Great room in a 2 BD apartment,64007712161,verified,Waleed,Queens,Ditmars Steinway,40.77431,-73.9114,United States,US,False,moderate,Private room,2011.0,"$1,110 ",$222 ,1.0,4.0,5/26/2019,1.85,5.0,1.0,298.0,,
43455532,Two BDRM Perfect CHTWN Manhattan!,76586868677,unconfirmed,Karline,Manhattan,Two Bridges,40.71165,-73.9993,United States,US,True,strict,Entire home/apt,2003.0,$351 ,$70 ,1.0,59.0,4/20/2019,1.82,5.0,1.0,88.0,#NAME?,
37964566,Habitación cama doble confortable tv.baño privado.,8107773080,verified,Sandra,Queens,East Elmhurst,40.77046,-73.87237,United States,US,False,moderate,Private room,2017.0,"$1,132 ",$226 ,3.0,12.0,8/29/2020,0.4,3.0,4.0,0.0,,
15531797,"Best Artist's fun loft in Williamsburg, mins 2 NYC",41464540258,unconfirmed,Leonor And Luca,Brooklyn,Williamsburg,40.71416,-73.95357,United States,US,True,strict,Entire home/apt,2003.0,$819 ,$164 ,2.0,7.0,5/31/2019,0.33,4.0,1.0,37.0,"No smoking in apartment, in building or within 50 feet of entrance.  No pets.  Quiet and respectful of our neighbors.",
4701746,Amazing Artist Loft,33399153549,unconfirmed,Tanda,Brooklyn,South Slope,40.66442,-73.99047,United States,US,True,moderate,Entire home/apt,2018.0,$100 ,$20 ,2.0,8.0,6/16/2019,0.23,3.0,3.0,59.0,Smoking is strictly prohibited. Your pets are welcome but please mind them. NO PARTIES ALLOWED.  EXCESSIVE NOISE IS STRICTLY PROHIBITED,
44467346,Awesome Apartment in the E Village!,25164164527,unconfirmed,Wilson,Manhattan,East Village,40.72759,-73.98619,United States,US,False,flexible,Entire home/apt,2008.0,$995 ,$199 ,1.0,31.0,6/30/2019,1.14,5.0,1.0,1.0,"Free WiFi! * No smoking anywhere on property. *No out-door shoes to be worn in the house. We ask that guests be willing to be considerate and quiet while coming and going from 10 pm to 6 am, please. This is a non-smoking property. There is no smoking anywhere on the property, inside nor on the porch. We also ask guests to bring inside shoes/slippers. Thank you. As this is our home, we request you not to move the furniture nor our belongings around and to treat our home as you would wish your home to be treated. Thank you.",
36740669,Newly Renovated Artist Loft 1 Bedroom Apt LES #2,11921268859,verified,Karen,Manhattan,Lower East Side,40.72095,-73.99277,United States,US,False,strict,Entire home/apt,2005.0,"$1,051 ",$210 ,30.0,1.0,8/1/2021,0.14,2.0,208.0,248.0,,
24206773,Central Bushwick Private Bedroom,11383875158,verified,Jessica,Brooklyn,Bushwick,40.69504,-73.9264,United States,US,True,flexible,Private room,2018.0,$459 ,$92 ,2.0,5.0,6/10/2019,1.55,5.0,1.0,9.0,,
32475808,Charming Tribeca Keyed Elevator loft,16037744147,unconfirmed,Kay,Manhattan,Tribeca,40.7152,-74.00733,United States,US,False,moderate,Entire home/apt,2014.0,$863 ,$173 ,3.0,11.0,1/17/2022,0.39,3.0,1.0,42.0,,
32708327,Spacious and EASY access to all!,12632407311,verified,Nate,Brooklyn,Prospect-Lefferts Gardens,40.66014,-73.9614,United States,US,False,strict,Entire home/apt,2005.0,$113 ,$23 ,30.0,61.0,1/12/2022,0.57,3.0,1.0,250.0,,
17031844,Millions of View Luxury Apartment In Manhattan,84945144529,verified,Echo,Manhattan,Chelsea,40.75271,-73.99573,United States,US,True,moderate,Entire home/apt,2022.0,$68 ,$14 ,3.0,0.0,,,2.0,1.0,0.0,"I feel very responsible and accountable for your needs and comfort while you stay at my home... I will go above and beyond for you!  That being said -- I do not charge hotel pricing for a reason. Hotels allow for 24 hour on call service, if you lock yourself out or are having trouble with something... a hotel front desk can help immediately. Your $300 a night for a hotel in Boston covers that.... I am charging almost a 10th of that for this room. I have my own business, clients, and social obligations to attend to. If you lock yourself out or have some other issue, of course I will come help you, but its important to understand that it will not be immediate. I will do my best to get back to the house as quickly as possible. ***IMPORTANT** I'd rather save you all the money and trust you to be independent / responsible guests... than to charge you for my 24 hour support! So please -- keep your keys on hand and in sight, keep the room clean, and maintain healthy choices while in my space ",
25479824,Luxury Soho Executive Suite,97988035473,verified,Corporate Housing,Manhattan,Little Italy,40.7191,-73.99671,United States,US,False,flexible,Entire home/apt,2013.0,$134 ,$27 ,30.0,0.0,,,4.0,91.0,312.0,#NAME?,
4679654,Morning Side Heights Private Room,359986989,unconfirmed,Nick,Manhattan,Harlem,40.81004,-73.95231,United States,US,False,strict,Private room,2005.0,$710 ,$142 ,1.0,1.0,1/3/2015,0.02,4.0,1.0,101.0,,
18357364,"A cozy private room, close to Columbia!",13796043396,verified,Minami,Manhattan,Morningside Heights,40.80868,-73.95801,United States,US,True,strict,Private room,2006.0,$792 ,$158 ,4.0,2.0,8/17/2018,0.16,5.0,1.0,0.0,,
53616196,NYC Hideaway Urban Suite,84524847368,unconfirmed,Christopher,Bronx,Pelham Bay,40.85519,-73.82932,United States,US,True,moderate,Entire home/apt,2005.0,$647 ,$129 ,2.0,2.0,10/9/2018,0.19,3.0,3.0,313.0,No smoking in the building no partying in building ,
43093224,Spacious 1 Bdrm in Queens w Manhattan views,50945624920,unconfirmed,Ali,Queens,Maspeth,40.73834,-73.90774,United States,US,True,strict,Private room,2003.0,$74 ,$15 ,1.0,1.0,9/26/2016,0.03,3.0,1.0,0.0,It's a quiet building on a quiet street with many working professionals. Please be respectful of our neighbors and no additional guests or parties. No Smoking. No Pets.,
40344427,Flat Iron 2BD Beautiful Apt,5058621293,unconfirmed,Krista,Manhattan,Flatiron District,40.74107,-73.98487,United States,US,True,flexible,Entire home/apt,2003.0,$605 ,$121 ,1.0,0.0,,,1.0,1.0,0.0,,
16592765,Luxury Modern Apartment by Central Park,13029166291,verified,Musa,Manhattan,Harlem,40.8029,-73.95576,United States,US,True,flexible,Entire home/apt,2007.0,$298 ,$60 ,3.0,1.0,12/8/2017,0.05,2.0,1.0,0.0,"Please Note: This unit was just gut-renovated in May 2015 and it comfortably accommodates 8 guests (two guests in each bedroom and/or guest(s) on the available air mattresses). Please request an air mattress (if needed) when making a reservation. No smoking, no pets, no parties, and must be 25 years old to book.   For check-out, please ensure: -  All plates and cups are left in the sink or dishwasher -  All trash is left in the kitchen trash can or bagged and left next to the trash can (additional bags are under the sink) -  All windows are closed and locked -  If used, the air mattresses are deflated and put away (please leave used linens for the air mattresses on the floor) -  If furniture was moved during your stay, please return to its original location Please be mindful to our neighbors in the building; quiet hours after 10pm. Please be considerate of our next guests who will be staying after you, if something is broken or needs fixing, please let me know, as I have an arsenal of ",
14494025,Garden Master Bedroom in Crown Heights,98032165678,verified,Yan,Brooklyn,Crown Heights,40.67021,-73.92368,United States,US,True,flexible,Private room,2014.0,,$81 ,1.0,49.0,6/3/2019,2.02,1.0,12.0,51.0,,
6490646,"Beautiful, large and sunny bedroom",28446714401,verified,Dani,Brooklyn,Bedford-Stuyvesant,40.68847,-73.95634,United States,US,True,strict,Private room,2010.0,$596 ,$119 ,1.0,0.0,,,4.0,1.0,179.0,,
42565225,Big private room,56130232508,verified,Sercan,Queens,Rego Park,40.72407,-73.86585,United States,US,True,flexible,Private room,2005.0,$813 ,$163 ,4.0,0.0,,,2.0,1.0,365.0,,
47329365,"Bumble of Brooklyn, Large space",53048968624,unconfirmed,Victoria,Queens,Ridgewood,40.6999,-73.90059,United States,US,False,flexible,Private room,2006.0,$636 ,$127 ,3.0,2.0,1/4/2018,0.11,4.0,1.0,0.0,,
40981781,Large Private Room in Williamsburg,28192774759,verified,Marie,Brooklyn,Williamsburg,40.71061,-73.94971,United States,US,True,strict,Private room,2015.0,$695 ,$139 ,1.0,40.0,10/1/2018,0.87,3.0,1.0,125.0,,
51097708,Room for one or two in  beautiful Midwood,31715215224,unconfirmed,Beth,Brooklyn,Midwood,40.62066,-73.95378,United States,US,True,flexible,Private room,2005.0,$900 ,$180 ,2.0,56.0,5/26/2019,1.83,5.0,2.0,42.0,I do not allow guests with pets. Smoking is allowed on the patio or outdoors. Please be kind to the environment and recycle. Also turn  all unnecessary lights off when not in use. All beds need to be stripped upon departure. Sanitary napkins need to be disposed of properly (taken outside to the trash) not in the bathroom garbage. The suite has a separate sitting area with leather couch not to be used as second bedroom.  Guest must have a mobile device which makes and receives calls and or text messages.,
38490908,LUXURY 2 BEDS 2 BATHS - SUTTON PLACE,36191781595,verified,Ash,Manhattan,Midtown,40.75597,-73.96421,United States,US,False,strict,Entire home/apt,2019.0,$66 ,$13 ,30.0,2.0,3/11/2020,0.08,2.0,13.0,339.0,,
35500756,"2 bed room penthouse best location,work pace",15299188654,verified,Fabienne,Manhattan,Kips Bay,40.7412,-73.98347,United States,US,True,strict,Entire home/apt,2016.0,$632 ,$126 ,30.0,1.0,11/14/2021,0.27,4.0,4.0,340.0,,
31249702,UNTITLED at Freeman - Queen Studio 917,76795758854,unconfirmed,Karen,Manhattan,Lower East Side,40.7213,-73.99363,United States,US,True,strict,Entire home/apt,2007.0,$87 ,$17 ,2.0,22.0,2/12/2022,3.38,3.0,208.0,144.0,,
19278048,Large room with a view in the heart of NYC 31C2,39815325998,verified,John,Manhattan,Hell's Kitchen,40.75587,-73.99724,United States,US,False,moderate,Private room,2019.0,$485 ,$97 ,7.0,5.0,5/20/2019,0.53,4.0,47.0,356.0,"In order to provide a healthy, comfortable and safe environment, the following are the rules of my house. It is your responsibility to not only read these rules once, but to be aware of and follow all of them throughout your stay at my home. Most of what follows is common sense or common courtesy. The rules serve to protect you as a guest by helping ensure that the environment you find here is the one that I intended to create. Please keep in mind:  You will be sharing common areas with other guests or residents, and thus the cleanliness of the common areas is far more dependent upon all guests cleaning up after themselves, than it is upon my once a week cleaning. Most guests do very well in keeping common areas clean! House rules: Please do not drag luggage up the front stairs. Please leave things as they are in your room: do not remove pictures from walls, don't move furniture around, and do not remove mattress protector from the mattress. Also, it should not be necessary to say, but",
14703347,"perfect place for tourist, near subway, restaurant",33671558951,verified,Ayodeji,Manhattan,Harlem,40.81745,-73.94203,United States,US,True,flexible,Private room,2012.0,"$1,160 ",$232 ,1.0,6.0,10/8/2017,0.25,3.0,2.0,0.0,"Please pick up after yourself (remove hair after taking a shower/shaving, etc.), and make sure things are left tidy after you used bathrooms. Keep toilet seat closed so cat can't get to water. Please avoid morning rush between 6am and 10 am and take shower at night (unless you shower is literally 2 min or less). Additional toilet/sink on the first floor. Always wipe off toothpaste from sink and faucet as a courtesy to others.  Immediately notify me if something was broken or out of order or you forgot to wash a plate. Don't leave any food in your room. Proper trash disposal: recycling is very important. Rinse containers before placing into collection; all food leftovers must go inside kitchen sink for disposal. Avoid bringing in plastic bags, but if you must occasionally, please place into recycling for bags under the sink. Please tidy up  your room after departure and take care of dirty dishes. Departure after check out time billed one hundred dollars Mailing address is NOT TO be shar",
33012644,Central Park and You,73916442106,verified,Richard,Manhattan,Upper West Side,40.79903,-73.95926,United States,US,True,moderate,Private room,2008.0,$912 ,$182 ,2.0,5.0,1/6/2022,1.7,4.0,56.0,200.0,,
26768340,Dazzling Large 3 Bedroom Just Minutes To Manhattan,98362660489,unconfirmed,Theo,Queens,Astoria,40.75875,-73.92048,United States,US,True,flexible,Entire home/apt,2012.0,$199 ,$40 ,2.0,2.0,7/1/2019,2.0,5.0,1.0,279.0,Rules are to respect everyone in the home and keep the place clean as is found.,
23490992,Central Park - Comfy King Room,79687172692,verified,Gabriel,Manhattan,Hell's Kitchen,40.75504,-73.99716,United States,US,True,moderate,Private room,2003.0,$483 ,$97 ,1.0,3.0,5/9/2019,0.89,3.0,30.0,360.0,No Smoking,
12600188,Private room with private entrance in Greenpoint!,38589734785,unconfirmed,Marie,Brooklyn,Greenpoint,40.73824,-73.9537,United States,US,False,flexible,Private room,2013.0,$119 ,$24 ,2.0,6.0,5/18/2019,0.27,2.0,1.0,364.0,"Please treat my home as if it were your own. Be respectful of me, my cleaning lady,and anyone you may encounter in the building. No smoking (indoors or on the balcony). Please clean up after yourself, especially in the bathroom. Upon leaving, please put your trash in the chute and strip the linens off the bed. If you have any questions, please ask me.",
18698685,"Cozy, tranquil bedroom steps from Central Park B",19497949211,unconfirmed,Rachel,Manhattan,Upper West Side,40.78371,-73.97358,United States,US,True,flexible,Private room,2003.0,$911 ,$182 ,20.0,5.0,3/25/2019,0.39,3.0,2.0,64.0,"-Our one golden rule is: Please treat our space with respect (i.e. Clean up after yourself, be sure to lock the door when you leave, etc.)  -Absolutely NO SMOKING!!!! -We are fun-loving people, so we dont mind you having some friends over, but the above rule applies twofold in that scenario. -You're welcome to use dishes, appliances, etc in the kitchen, but we ask that you buy your own food/drinks rather than use ours. -No pets allowed (not our rule, our landlord's) -Upon checkout, please turn A/C units and lights off before leaving. -Feel free to ask us about the area-- we know it well and love to recommend!",
52458575,Cozy 2,13655681997,verified,John,Brooklyn,East New York,40.66122,-73.88672,United States,US,False,strict,Private room,2022.0,$151 ,$30 ,3.0,23.0,5/27/2019,1.37,4.0,13.0,90.0,"Please keep as clean as you can.  Please no shoes in the house.  Absolutely no smoking.  Also, the building association does not allow pets.",
